[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0021_1.jpg&size=200 → 200 (730ms, 9619B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0938.jpg&size=200 → 200 (735ms, 6889B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0941.jpg&size=200 → 200 (745ms, 5959B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0946.jpg&size=200 → 200 (769ms, 3562B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0947.jpg&size=200 → 200 (808ms, 8569B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0976.jpg&size=200 → 200 (815ms, 7719B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0978.jpg&size=200 → 200 (818ms, 8000B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0986.jpg&size=200 → 200 (846ms, 6023B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDSCF3260.jpg&size=200 → 200 (887ms, 9190B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDSCF3260_1.jpg&size=200 → 200 (887ms, 9190B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDSCF3263.jpg&size=200 → 200 (892ms, 8862B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDSCF3264.jpg&size=200 → 200 (897ms, 8667B)
